aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Increased, Estrogen receptor (ER) activity",748,KE,,,,,,,,N
"Decreased, Binding of NE to NE receptors on GnRH neurons",848,KE,,,,,,,,N
"Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)",708,KE,,,,,,,,N
"Altered, Action Potential",698,KE,,,,,,,,N
"Altered, Transcription of genes by the androgen receptor",286,KE,,,,,,,,N
"Decrease, androgen receptor activation",1614,KE,,,,,,,,N
"Increase, cell proliferation (hepatocytes)",716,KE,,,,,,,,N
"Increased, Differentiation to Testis ",1790,KE,,,,,,,,N
"Increase, Gonadotropins concentration in plasma",2137,KE,,,,,,,,N
"Reduction, Gonadotropins, circulating concentrations",129,KE,,,,,,,,N
"Alteration, Wnt pathway",310,KE,,,,,,,,N
"Increased, Reactive oxygen species",1115,KE,,,,,,,,N
"Decrease, Smoothend relocation and activation ",2044,KE,,,,,,,,N
"stabilization, PPAR alpha co-repressor",1000,KE,,,,,,,,N
"Decreased, Dopaminergic activity",1083,KE,,,,,,,,N
"Under carboxylated clotting factors will not assemble on cell surfaces to form clot, Failure of secondary hemostasis  ",1122,KE,,,,,,,,N
"Decreased, Ovarian E2",1045,KE,,,,,,,,N
"Cell cycle, disrupted",1505,KE,,,,,,,,N
Urothelial cell injury/death,1762,KE,,,,,,,,N
Mitochondrial impairment,1261,KE,,,,,,,,N
Oxidative Stress ,1392,KE,,,,,,,,N
"Reduction, Plasma 17beta-estradiol concentrations",219,KE,,,,,,,,N
"reduction in ovarian granulosa cells synthesis of estradiol, Reduced steroidogenic production of estradiol in granulosa cells",965,KE,,,,,,,,N
"Reduction, 17beta-estradiol synthesis by the undifferentiated gonad ",1789,KE,,,,,,,,N
"Activation, AhR",18,KE,,,,,,,,N
"Altered gene expression, AHR nuclear translocator (ARNT)-dependent pathway",17,KE,,,,,,,,N
"Altered gene expression, NF-kB dependent Interleukin-6 pathway",1921,KE,,,,,,,,N
"Altered gene expression, NRF2 dependent antioxidant pathway",1917,KE,,,,,,,,N
"Altered gene expression, TGF-β dependent fibrosis pathway",1920,KE,,,,,,,,N
"prolonged, Depolarization of neuronal membrane",599,KE,,,,,,,,N
"Increased activity, beta-2 adrenergic receptor",1039,KE,,,,,,,,N
"N/A, Mitochondrial dysfunction 1",177,KE,,,,,,,,N
"Overactivation, NMDARs",388,KE,,,,,,,,N
Decreased protection against oxidative stress,1538,KE,,,,,,,,N
"Oxidation, Glutathione (To be considered with MIE)",926,KE,,,,,,,,N
Influenza A virus (IAV) cell entry,2159,KE,,,,,,,,N
"Dysregulation, ACE2 expression and activity",1854,KE,,,,,,,,N
Neuroinflammation,188,KE,,,,,,,,N
SARS-CoV-2 cell entry ,1738,KE,,,,,,,,N
Induction of GATA3 expression,1711,KE,,,,,,,,N
"Disrupted binding, laminin-beta1-integrin receptors with laminin",2110,KE,,,,,,,,N
"Reduction, Ionotropic GABA receptor chloride channel conductance",64,KE,,,,,,,,N
"Increase, Cell membrane depolarization",1527,KE,,,,,,,,N
"Increase, Ca++ (intracellular)",50,KE,,,,,,,,N
Reduced complex sphingolipids,2024,KE,,,,,,,,N
"Disruption, Microtubule dynamics",720,KE,,,,,,,,N
"Decrease, Cuticular chitin content",1523,KE,,,,,,,,N
"Decrease, Digestion of old cuticle",996,KE,,,,,,,,N
"Activation of specific nuclear receptors, Transcriptional change",288,KE,,,,,,,,N
"Decreased, Calcium influx",52,KE,,,,,,,,N
"Inhibition, NMDARs",195,KE,,,,,,,,N
"Increase, Regenerative cell proliferation (hepatocytes)",787,KE,,,,,,,,N
"persistent, cytotoxicity (pleura or peritoneum)",1086,KE,,,,,,,,N
"Increased, glutamate",1350,KE,,,,,,,,N
"Displacement, Serum thyroxine (T4) from carrier protein",1830,KE,,,,,,,,N
"Altered gene expression specific to CAR activation, Hepatocytes",1214,KE,,,,,,,,N
"Increased, secretion of proinflammatory mediators",1496,KE,,,,,,,,N
"Activation, Keratinocytes",826,KE,,,,,,,,N
"Decreased, Prostaglandin F2alpha concentration, plasma ",1104,KE,,,,,,,,N
"Reduction, Prostaglandin E2 concentration",243,KE,,,,,,,,N
"Decrease, Ovulation",488,KE,,,,,,,,N
"Reduced, Prostaglandin F2alpha concentration, plasma ",671,KE,,,,,,,,N
"Reduced, Ability to attract spawning mates",674,KE,,,,,,,,N
"Reduced, Prostaglandin E2 concentration, hypothalamus",687,KE,,,,,,,,N
Oxidative Stress in Brain,1510,KE,,,,,,,,N
"Increase, Cell death",1825,KE,,,,,,,,N
"Increase, Necrosis (terminal bronchiolar cells)",733,KE,,,,,,,,N
"Increase, Regenerative cell proliferation (tubular epithelial cells)",710,KE,,,,,,,,N
"Decreased, Glucose oxidase enzyme activity",578,KE,,,,,,,,N
"Decreased, Testosterone binding to androgen receptor (hypothalamus)",743,KE,,,,,,,,N
"Decrease, palatal shelf outgrowth",2041,KE,,,,,,,,N
"Decrease, Sonic Hedgehog second messenger production",2043,KE,,,,,,,,N
"Reduction, Testosterone synthesis in Leydig cells",413,KE,,,,,,,,N
"Decreased, Triiodothyronine (T3)",1003,KE,,,,,,,,N
Activation of PPAR,2165,KE,,,,,,,,N
Increase in reactive oxygen and nitrogen species (RONS),1632,KE,,,,,,,,N
"Increase, DNA strand breaks",1635,KE,,,,,,,,N
Increased Modified Proteins,2081,KE,,,,,,,,N
"Increase, Reactive Oxygen Species production",257,KE,,,,,,,,N
"Increase, Reactive oxygen species",1364,KE,,,,,,,,N
"Reduction, Angiogenesis",28,KE,,,,,,,,N
"Decrease, Global DNA methylation",1773,KE,,,,,,,,N
"Increase, DNA double-strand break",1766,KE,,,,,,,,N
"Decrease, dopa decarboxylase",2052,KE,,,,,,,,N
"Thyroid hormone synthesis, Decreased",277,KE,,,,,,,,N
increased MyD88 activation,1897,KE,,,,,,,,N
"Activation, estrogen receptor alpha",1065,KE,,,,,,,,N
"Increase, Nuclear receptor E75b gene expression",1264,KE,,,,,,,,N
"Increase, goblet cell number",2117,KE,,,,,,,,N
"Disruption, Lysosome",898,KE,,,,,,,,N
Endothelial cell dysfunction ,1913,KE,,,,,,,,N
"Activation of specific nuclear receptors, PPAR-gamma activation",1028,KE,,,,,,,,N
"Increased, Vitellogenin synthesis",418,KE,,,,,,,,N
"Increased, recruitment of inflammatory cells",1497,KE,,,,,,,,N
"Decreased, Mitochondrial fatty acid beta-oxidation",179,KE,,,,,,,,N
"Increase, Cell Proliferation (Epithelial Cells)",1182,KE,,,,,,,,N
"Increased, Kisspeptin signalling",1985,KE,,,,,,,,N
"Reduction, Vitellogenin synthesis in liver",285,KE,,,,,,,,N
"Decreased, Sodium conductance 1",585,KE,,,,,,,,N
"Increase, Protein oxidation",1767,KE,,,,,,,,N
"Decrease, Mitochondrial membrane potential",1770,KE,,,,,,,,N
"Increased, Lipid peroxidation",1445,KE,,,,,,,,N
"Increase, Oxidative DNA damage",1608,KE,,,,,,,,N
"Release, Cytokine",87,KE,,,,,,,,N
"Activation, PI3K",1310,KE,,,,,,,,N
"Inhibition, PTGS-1 (Prostaglandin-endoperoxide synthase 1)",1368,KE,,,,,,,,N
Repressed expression of steroidogenic enzymes ,495,KE,,,,,,,,N
"Decrease, Acyl-CoA dehydrogenases",1834,KE,,,,,,,,N
"Inhibition, Nuclear factor kappa B (NF-kB)",202,KE,,,,,,,,N
"Increase, Cripto-1 expression",1759,KE,,,,,,,,N
"Increased, Chloride conductance",761,KE,,,,,,,,N
"Increased, Neuronal synaptic inhibition",1015,KE,,,,,,,,N
"Depletion, GSH",130,KE,,,,,,,,N
"Decreased, GnRH pulsatility/release in hypothalamus",1071,KE,,,,,,,,N
Repression of Gbx2 expression,1902,KE,,,,,,,,N
"Increase, ammonium (NH4+)",1384,KE,,,,,,,,N
"Increased, Hepatic thyroid hormone uptake/transport",1158,KE,,,,,,,,N
Inhibition of rapid delayed rectifying potassium current ,2100,KE,,,,,,,,N
"Decrease, histaminergic neuron excitation",633,KE,,,,,,,,N
"Histone acetylation, increase",1503,KE,,,,,,,,N
"Neural crest cell migration, reduced",1557,KE,,,,,,,,N
"Decreased, mevalonate",805,KE,,,,,,,,N
"Increased, Plasma tyrosine",775,KE,,,,,,,,N
Increased Angiotensin II ,1752,KE,,,,,,,,N
"Increased, secretion of GnRH from hypothalamus",1047,KE,,,,,,,,N
Premature initiation of meiosis in fetal male germ cells,1889,KE,,,,,,,,N
Tissue resident cell activation,1492,KE,,,,,,,,N
"Decreased, Prolactin",747,KE,,,,,,,,N
Increased intracelluar Iron accumulation,2149,KE,,,,,,,,N
"Increase, Energetic demands and therefore metabolic stress",573,KE,,,,,,,,N
"Decrease, GLUT4",1949,KE,,,,,,,,N
Porcupine-induced Wnt secretion and Wnt signaling activation,1754,KE,,,,,,,,N
Cortisol and 11β-(OH) testosterone decreased,1835,KE,,,,,,,,N
"Reduction, 17-OH-pregnenolone conversion in DHEA",1610,KE,,,,,,,,N
"Increased, Leutinizing hormone (LH)",791,KE,,,,,,,,N
"Decreased, all-trans retinoic acid (atRA) concentration",1881,KE,,,,,,,,N
Increase plasma Ang II,1743,KE,,,,,,,,N
"Interference, nuclear localization of NFAT",979,KE,,,,,,,,N
"Inhibition, NADH-ubiquinone oxidoreductase  (complex I)",887,KE,,,,,,,,N
"7α-hydroxypregnenolone synthesis in the brain, decreased",1387,KE,,,,,,,,N
Increased Homocysteine level ,1661,KE,,,,,,,,N
"Increase, cytosolic fatty acid",1305,KE,,,,,,,,N
Inhibition of Plxna2,1885,KE,,,,,,,,N
"Production, Critical Metabolites (CGA 330050 and CGA 265307)",77,KE,,,,,,,,N
Blockade of STAT5 phosphorylation,1716,KE,,,,,,,,N
Inhibition of lysyl oxidase,1463,KE,,,,,,,,N
"Depletion, mtDNA ",1482,KE,,,,,,,,N
"Increase, Oxidative Stress",1969,KE,,,,,,,,N
Accumulation of misfolded proteins,1605,KE,,,,,,,,N
Decrease of Thyroidal iodide,425,KE,,,,,,,,N
"Increase, Cytotoxicity",768,KE,,,,,,,,N
"Altered, Photoreceptor patterning",1640,KE,,,,,,,,N
Reduction of L-Dopaquinone,1628,KE,,,,,,,,N
Disruption of sodium channel gating kinetics,1977,KE,,,,,,,,N
"Displacement, Serum thyroxine (T4) from transthyretin",958,KE,,,,,,,,N
"Increase, Tissue Degeneration, Necrosis & Atrophy ",868,KE,,,,,,,,N
"Increased, Inhibitory postsynaptic potential",1012,KE,,,,,,,,N
"Activation, JAK/STAT pathway",1282,KE,,,,,,,,N
"Induction, Doublesex1 gene",1206,KE,,,,,,,,N
" Thyroxine (T4) in serum, Decreased",281,KE,,,,,,,,N
"Inhibition, Mitochondrial Electron Transport Chain Complexes",105,KE,,,,,,,,N
"N/A, Unknown",294,KE,,,,,,,,N
"Decrease, knickkopf gene",2059,KE,,,,,,,,N
"Decrease, Calcium currents",1530,KE,,,,,,,,N
"Increase, Differentiation of fibroblasts",1456,KE,,,,,,,,N
Alveolar collapse,1673,KE,,,,,,,,N
"Reduction, Progesterone synthesis",1692,KE,,,,,,,,N
"Up Regulation, CD36",54,KE,,,,,,,,N
"Reduced, BDNF (Brain-derived neurotrophic factor)",1335,KE,,,,,,,,N
Disturbance in microtubule dynamic instability,1581,KE,,,,,,,,N
"Decrease, Adenosine triphosphate pool",1771,KE,,,,,,,,N
Decrease in mitochondrial oxidative phosphorylation,1545,KE,,,,,,,,N
"Decreased testosterone by the fetal Leydig cells, Increased COUP-TFII in fetal Leydig cells",655,KE,,,,,,,,N
"Decreased Cholesterol, Decreased Testosterone Production by Adult Leydig Cells",645,KE,,,,,,,,N
"Apoptosis of adult Leydig cells, Decreased testosterone by adult Leydig cells",525,KE,,,,,,,,N
"Decreased steroidogenesis, Decreased Activity of Steroidogenic Enzymes in Adult Leydig cells",647,KE,,,,,,,,N
"Activated, presynaptic neuron 1",1349,KE,,,,,,,,N
Release of G Proteins,1426,KE,,,,,,,,N
ROS formation,1278,KE,,,,,,,,N
"Disruption, Membrane integrity",169,KE,,,,,,,,N
"Inhibit, serotonin transporter activity",1316,KE,,,,,,,,N
"Reduced, FXR activity",1419,KE,,,,,,,,N
"Activation, SHP",480,KE,,,,,,,,N
"Desensitization, Nicotinic acetylcholine receptor",663,KE,,,,,,,,N
"Abnormal, Role change within caste",1108,KE,,,,,,,,N
"Increased, Energetic demands and therefore metabolic stress",1110,KE,,,,,,,,N
"Inhibition, FoxA2",471,KE,,,,,,,,N
"Activation, SREBF1",457,KE,,,,,,,,N
"Activation, HIF1α",2162,KE,,,,,,,,N
"Reduced, platelet aggregation",1403,KE,,,,,,,,N
"Decreased, angiogenesis",1409,KE,,,,,,,,N
"Increased, blood uric acid concentration",1096,KE,,,,,,,,N
"Altered regulation, Alpha hemoglobin",21,KE,,,,,,,,N
"Cilia Beat Frequency, Decreased",1908,KE,,,,,,,,N
"Cystic Fibrosis Transmembrane Regulator Function, Decreased",1906,KE,,,,,,,,N
"FOXJ1 Protein, Decreased",1911,KE,,,,,,,,N
"KE1 : S-Glutathionylation, eNOS",927,KE,,,,,,,,N
"Accumulation, Fatty acid",327,KE,,,,,,,,N
Activation of TGF-β signaling,1271,KE,,,,,,,,N
"Up Regulation, SREBF2",1284,KE,,,,,,,,N
"Damage, Lipid bilayer",829,KE,,,,,,,,N
Endoplasmic reticulum stress,2017,KE,,,,,,,,N
"Increased, PPAR-alpha activation",1057,KE,,,,,,,,N
"Decreased, cholesterol",807,KE,,,,,,,,N
"Increased, adipogenesis",1029,KE,,,,,,,,N
"Decrease, Steroidogenic acute regulatory protein (STAR)",266,KE,,,,,,,,N
"Increase, Phenotypic enzyme activity",1170,KE,,,,,,,,N
"Increase, Luteinizing hormone (LH) ",414,KE,,,,,,,,N
"Decreased, GABA",1414,KE,,,,,,,,N
"Increased, HIF-1 heterodimer",799,KE,,,,,,,,N
Cell injury/death,55,KE,,,,,,,,N
"Weakened, Colony",1107,KE,,,,,,,,N
"Decreased, PPAR-gamma activation",233,KE,,,,,,,,N
"Disturbance, Lysosomal function",831,KE,,,,,,,,N
"Decreased, LH Surge",531,KE,,,,,,,,N
"Decrease, ATP production",1472,KE,,,,,,,,N
"Dysfunction, Mitochondria ",1483,KE,,,,,,,,N
"Increased, serotonin transporter activity",1397,KE,,,,,,,,N
"Increased, intracellular serotonin",1398,KE,,,,,,,,N
"Increased, extracellular serotonin",1320,KE,,,,,,,,N
"Decreased, sodium conductance 2",1176,KE,,,,,,,,N
"Increased, Atrioventricular block and bradycardia",444,KE,,,,,,,,N
"Decreased, intracellular serotonin",1323,KE,,,,,,,,N
Maturation of TNF/iNOS-Producing Dendritic Cells,1822,KE,,,,,,,,N
"Superoxide generation, increased",2120,KE,,,,,,,,N
"Increased, estrogens ",1973,KE,,,,,,,,N
"Suppression, Immune system",403,KE,,,,,,,,N
"N/A, Hepatotoxicity, Hepatopathy, including a constellation of observable effects",139,KE,,,,,,,,N
"Disruption, Neural crest cell migration",1681,KE,,,,,,,,N
liver dysfunction,2034,KE,,,,,,,,N
"Decreased, thyroid hormone binding to thyroid hormone receptor",2104,KE,,,,,,,,N
"Hippocampal gene expression, Altered ",756,KE,,,,,,,,N
"Activation, JNK",1292,KE,,,,,,,,N
Increased intestinal monitor peptide level,1721,KE,,,,,,,,N
"Decreased, Triiodothyronine (T3) in tissues",1116,KE,,,,,,,,N
"Increased, Triiodothyronine (T3) in tissues",1154,KE,,,,,,,,N
"Increase, Glycolysis",2070,KE,,,,,,,,N
"Increase, Cytosolic calcium",2064,KE,,,,,,,,N
"Increase, Mitochondrial swelling",2072,KE,,,,,,,,N
"Altered, cholesterol metabolism",2115,KE,,,,,,,,N
"Increase, Cytotoxicity (urothelial cells)",794,KE,,,,,,,,N
"Abnormal, Foraging activity and behavior",560,KE,,,,,,,,N
"Increased, Deformed Wing Virus levels",1109,KE,,,,,,,,N
"Opening of calcium channel, Calcium influx",1218,KE,,,,,,,,N
"Decreased, Synthesis of NE",528,KE,,,,,,,,N
Proteasomal dysfunction,1585,KE,,,,,,,,N
"Decreased,  plasma 11-ketotestosterone level",1756,KE,,,,,,,,N
 MLL chromosomal translocation,1253,KE,,,,,,,,N
"Decrease, Photosynthesis",1475,KE,,,,,,,,N
"Decreased, anxiety",627,KE,,,,,,,,N
"Increased, water retention in foot",1139,KE,,,,,,,,N
"Increased, oocyte maturation",1161,KE,,,,,,,,N
"Increase, cilia movement",621,KE,,,,,,,,N
"Reduced, Brood care",565,KE,,,,,,,,N
Angiotensin (1-7) levels diminished,1935,KE,,,,,,,,N
Increased Cholinergic Signaling,39,KE,,,,,,,,N
"Activation, Muscarinic Acetylcholine Receptors",1602,KE,,,,,,,,N
"Disruption, neurotransmitter release",2151,KE,,,,,,,,N
"Increase, Mitochondrial Dysfunction",1968,KE,,,,,,,,N
"Expression of factors ruling proliferation, modified",2153,KE,,,,,,,,N
Oxidation/denatuation of membrane proteins,1595,KE,,,,,,,,N
"Metabolism of AFB1, Production of Reactive Electrophiles",409,KE,,,,,,,,N
"Increased, Clearance of thyroxine from serum",961,KE,,,,,,,,N
"Inhibition, Mitochondrial fatty acid beta-oxidation",451,KE,,,,,,,,N
"reduced dimerization, ARNT/HIF1-alpha",945,KE,,,,,,,,N
"Increase, Vitellogenin mRNA",2046,KE,,,,,,,,N
"Decreased, GnRH cfos activity",529,KE,,,,,,,,N
"Increase, Cytotoxicity (renal tubular cell)",709,KE,,,,,,,,N
"Increased, cardiac arrthymia",699,KE,,,,,,,,N
"Granulosa cell proliferation of gonadotropin-independent follicles, Reduced",1800,KE,,,,,,,,N
"decrease, transcription of genes by AR ",1687,KE,,,,,,,,N
"Increase, Preneoplastic foci (hepatocytes)",774,KE,,,,,,,,N
"Increase, Androgen receptor",2134,KE,,,,,,,,N
"Increased, Male Biased Sex Ratio",1791,KE,,,,,,,,N
"Reduction,Testosterone concentration in plasma",2138,KE,,,,,,,,N
"Reduction, Testosterone synthesis by ovarian theca cells",274,KE,,,,,,,,N
"Feminisation or incomplete development, Primary and accessory male sex organs",240,KE,,,,,,,,N
"Increased activation, Nuclear factor kappa B (NF-kB)",1172,KE,,,,,,,,N
"Decrease, GLI1/2 translocation to nucleus ",2028,KE,,,,,,,,N
"Decreased, PPARalpha transactivation of gene expression",858,KE,,,,,,,,N
"Increased, prolactin secretion",1084,KE,,,,,,,,N
"Failure in vascular repair mechanisms, Unresolved blood loss (hemorrhage)",1130,KE,,,,,,,,N
"Suppression, Estrogen receptor (ER) activity",1046,KE,,,,,,,,N
"Altered, Thyroid hormone-dependent gene expression",1829,KE,,,,,,,,N
"Increase, Regenerative cell proliferation (urothelial cells)",795,KE,,,,,,,,N
"Reduction, 17beta-estradiol synthesis by ovarian granulosa cells",3,KE,,,,,,,,N
"Reduced Estradiol in Circulation, Reduced steroidogenic production of estradiol in granulosa cells leading to decreased estradiol in circulation",966,KE,,,,,,,,N
"Increase, slincR expression",2021,KE,,,,,,,,N
"Increase, COX-2 expression",1269,KE,,,,,,,,N
"Altered gene expression, P53 dependent apoptosis pathway",1923,KE,,,,,,,,N
"Increased, Reactive metabolites production",1922,KE,,,,,,,,N
"Increased, Interleukin-6 production",1933,KE,,,,,,,,N
"Increase, Cell Proliferation",870,KE,,,,,,,,N
"Induction, Epithelial Mesenchymal Transition",1457,KE,,,,,,,,N
"Oxidation, Uroporphyrinogen",844,KE,,,,,,,,N
"Overactivation, Neuronotransmitter release",600,KE,,,,,,,,N
"relaxation, smooth muscle",1040,KE,,,,,,,,N
"Increased, Intracellular Calcium overload",389,KE,,,,,,,,N
Influenza A Virus production increased,2192,KE,,,,,,,,N
"Gut microbiota, alteration",1954,KE,,,,,,,,N
blood brain barrier disruption ,1874,KE,,,,,,,,N
"Interferon-I antiviral response, antagonized by SARS-CoV-2",1901,KE,,,,,,,,N
Increase of Th2 cells producing IL-4,1712,KE,,,,,,,,N
"Decreased, neural progenitor cell adhesion to laminin",2111,KE,,,,,,,,N
"Reduction, Neuronal synaptic inhibition",669,KE,,,,,,,,N
"Disruption, Mitochondrial electron transport chain",178,KE,,,,,,,,N
Affected folate transporter,2025,KE,,,,,,,,N
"Disorganization, Meiotic Spindle",721,KE,,,,,,,,N
"Increase, Premature molting",1524,KE,,,,,,,,N
"Bile accumulation, Pathological condition",214,KE,,,,,,,,N
"Increased, inflammation",1087,KE,,,,,,,,N
"decreased, Bcl-2 expression",2123,KE,,,,,,,,N
"Increased, Free serum thyroxine (T4)",959,KE,,,,,,,,N
"Activation, Dendritic Cells",398,KE,,,,,,,,N
"Occurrence, renal ischemia",1105,KE,,,,,,,,N
"Reduction, Ca and HCO3 transport to shell gland",49,KE,,,,,,,,N
"Reduced, Prostaglandins, ovary",685,KE,,,,,,,,N
"Reduced, Prostaglandin F2alpha synthesis, ovary  ",672,KE,,,,,,,,N
"Reduced, Pheromone release",678,KE,,,,,,,,N
"Reduced, Gonadotropin releasing hormone, hypothalamus",689,KE,,,,,,,,N
Lipid Peroxidation,1511,KE,,,,,,,,N
Hepatocytotoxicity,1393,KE,,,,,,,,N
"Increase, Regenerative cell proliferation (terminal bronchiolar epithelial cells)",734,KE,,,,,,,,N
"Increase, Hyperplasia (tubular epithelial cells)",784,KE,,,,,,,,N
"Decreased, Hydrogen peroxide production",579,KE,,,,,,,,N
"Increase, Hyperplasia (Leydig cells)",744,KE,,,,,,,,N
"Decrease, Cell proliferation",1821,KE,,,,,,,,N
"Decrease, testosterone levels ",1690,KE,,,,,,,,N
"Reduced, Anterior swim bladder inflation",1007,KE,,,,,,,,N
"Reduced, Posterior swim bladder inflation",1004,KE,,,,,,,,N
Altered Signaling Pathways,2066,KE,,,,,,,,N
"Increase, Oxidative damage to DNA",1634,KE,,,,,,,,N
"Increase, Follicular atresia",1444,KE,,,,,,,,N
"Increase, Oocyte apoptosis",1775,KE,,,,,,,,N
"Increase, Programmed cell death",1864,KE,,,,,,,,N
